Bin,Mean Predicted Probability,Observed Positive Rate,Calibration Error
1,2.110693584463366e-06,6.738998584810297e-05,6.527929226363961e-05
2,3.681331544877262e-06,0.00030358227079538557,0.0002999009392505083
3,5.480426375822863e-06,0.0001987281399046105,0.00019324771352878764
4,7.927024130506674e-06,0.0002765486725663717,0.000268621648435865
5,1.1858034816679642e-05,8.450228156160216e-05,7.264424674492251e-05
6,1.8554415266434672e-05,0.0001150483202945237,9.649390502808904e-05
7,3.3198159165994515e-05,0.00023002606962122373,0.00019682791045522922
8,8.288461681903716e-05,0.000496709300881659,0.00041382468406262184
9,0.006751572590688416,0.003325833903942091,0.0034257386867463245
10,0.3439736735216323,0.02264691829909221,0.32132675522254006
